courseCode,titleZH,titleEN,credits,timeCode,classroom,instructor,unit,post110Domain,post110Cluster,quota,enrolled,available,language,note
0264,2,212,,Y401,通識中心,65,58,統合,跨域學習,7,中文,不開放校際選課及特殊加簽,65,128
0265,3,3234,,BI100-1,通識中心,31,22,統合,跨域學習,9,英文/EMI,English Conducting.,31,27
0280,2,*,,*,通識中心,70,70,統合,專業實作,0,中文,【跨校線上課程】細節ewant育網平台另行EMail通知，晚間有直播可自由參加，不影響成績。不開放校際選課及加簽,70,1031
0301,2,234,,Y208,通識中心,50,46,人文,文化,4,中文,,50,347
0303,2,334,,Y202,通識中心,50,50,人文,文化,0,中文,不開放校際選課,50,209
0304,2,256,,Y104,通識中心,120,119,人文,文化,1,中文,不開放校際選課及特殊加簽,120,461
0305,2,334,,Y305,通識中心,50,53,人文,文化,0,中文,不開放校際選課,50,303
0306,2,334,,Y206,通識中心,60,57,人文,文化,3,中文,,60,219
0307,2,178,,Y305,通識中心,50,50,人文,文化,0,中文,,50,155
0309,2,534,,Y204,通識中心,50,49,人文,文化,1,中文,,50,194
0310,2,556,,Y204,通識中心,50,49,人文,文化,1,中文,,50,205
0311,2,478,,Y206,通識中心,50,50,人文,文化,0,中文,,50,303
0312,2,434,,Y203,通識中心,50,46,人文,文學,4,中文,不開放校際選課,50,162
0313,2,156,,Y203,通識中心,31,33,人文,文學,0,中文,,31,92
0314,2,334,,Y313,通識中心,42,44,人文,文學,0,中文,,42,186
0315,2,334,,Y109,通識中心,45,20,人文,文化,25,英文/EMI,English Conducting.,45,59
0316,2,356,,Y109,通識中心,45,45,人文,文化,0,英文/EMI,English Conducting.,45,64
0317,2,512,,Y402,通識中心,50,39,人文,哲學,11,中文,不開放校際選課及特殊加簽,50,84
0318,2,412,,Y308,通識中心,55,51,人文,哲學,4,中文,不開放校際選課,55,98
0319,2,234,,Y409,通識中心,60,67,人文,哲學,0,中文,非同步遠距教學,60,452
0320,2,434,,Y305,通識中心,50,51,人文,歷史,0,中文,,50,495
0321,2,478,,Y305,通識中心,50,53,人文,歷史,0,中文,,50,538
0322,2,234,,Y202,通識中心,50,54,人文,歷史,0,中文,,50,214
0323,2,134,,Y409,通識中心,60,66,人文,歷史,0,中文,同步、非同步遠距教學；不開放校際選課,60,404
0324,2,334,,Y207,通識中心,50,53,人文,歷史,0,中文,,50,175
0325,2,478,,Y207,通識中心,50,56,人文,歷史,0,中文,,50,210
0326,2,278,,Y206,通識中心,50,57,人文,歷史,0,中文,,50,231
0327,2,356,,Y305,通識中心,50,50,人文,歷史,0,中文,,50,261
0328,2,378,,Y305,通識中心,50,50,人文,歷史,0,中文,,50,216
0332,2,156,,Y212,通識中心,50,47,人文,藝術,3,中文,,50,183
0333,2,278,,Y112,通識中心,50,50,人文,藝術,0,英文/EMI,English Conducting.,50,85
0334,2,178,,Y112,通識中心,70,71,人文,藝術,0,中文,不開放校際選課,70,265
0335,2,356,,Y112,通識中心,70,89,人文,藝術,0,中文,不開放校際選課,70,592
0336,2,256,,Y305,通識中心,70,71,人文,藝術,0,中文,不開放校際選課,70,635
0337,2,312,,Y402,通識中心,70,69,人文,藝術,1,中文,,70,204
0338,2,256,,Y112,通識中心,50,50,人文,藝術,0,英文/EMI,English Conducting.,50,102
0401,2,156,,SC111,通識中心,140,148,社會,公民與社會,0,中文,,140,362
0402,2,234,,Y204,通識中心,60,56,社會,公民與社會,4,中文,不開放校際選課及特殊加簽,60,105
0403,2,278,,SC111,通識中心,150,149,社會,公民與社會,1,中文,請注意：不開放特殊情形簽核,150,324
0404,2,434,,SC204,通識中心,55,52,社會,公民與社會,3,中文,,55,122
0405,2,178,,Y409,通識中心,50,51,社會,公民與社會,0,英文/EMI,English Conducting.Inter-school course selection closed.,50,146
0409,3,1678,,Y204,通識中心,60,57,社會,心理與教育,3,中文,不開放校際選課及特殊加簽,60,195
0410,3,2678,,Y204,通識中心,60,59,社會,心理與教育,1,中文,不開放校際選課及特殊加簽,60,190
0411,2,556,,Y303,通識中心,50,50,社會,心理與教育,0,中文,不開放校際選課及特殊加簽,50,1057
0412,2,134,,Y204,通識中心,60,55,社會,心理與教育,5,中文,不開放校際選課及特殊加簽,60,305
0413,2,256,,Y208,通識中心,50,58,社會,心理與教育,0,中文,,50,217
0414,2,134,,Y102,通識中心,48,34,社會,心理與教育,14,中文,,48,148
0415,2,156,,Y102,通識中心,48,27,社會,心理與教育,21,中文,,48,93
