name,dept,requiredType,courseNumber,grade,schedule,weeks,buildingCode,room,instructor,credits,post110Domain,post110Cluster
臺灣環境與永續生活,通識中心,通識,0309,,534,,Y,204,蕭戎,2,人文,文化
臺灣環境與永續生活,通識中心,通識,0310,,556,,Y,204,蕭戎,2,人文,文化
東北亞歷史與文化,通識中心,通識,0311,,478,,Y,206,蔡宗憲,2,人文,文化
中國古典短篇小說選讀,通識中心,通識,0312,,434,,Y,203,蔡妙真,2,人文,文學
文學探索,通識中心,通識,0313,,156,,Y,203,沈曼菱,2,人文,文學
華語影視文學,通識中心,通識,0314,,334,,Y,313,趙家琦,2,人文,文學
多元文化在臺灣,通識中心,通識,0315,,334,,Y,109,黎宗裕,2,人文,文化
臺灣環境與永續生活,通識中心,通識,0316,,356,,Y,109,黎宗裕,2,人文,文化
生命教育,通識中心,通識,0317,,512,,Y,402,黃慈慧,2,人文,哲學
生命教育,通識中心,通識,0318,,412,,Y,308,楊謦綺,2,人文,哲學
哲學概論,通識中心,通識,0319,,234,,Y,409,張盈馨,2,人文,哲學
近百年臺灣發展與變遷,通識中心,通識,0320,,434,,Y,305,陳慧先,2,人文,歷史
近百年臺灣發展與變遷,通識中心,通識,0321,,478,,Y,305,陳慧先,2,人文,歷史
現代世界的形成,通識中心,通識,0322,,234,,Y,202,許朝祺,2,人文,歷史
現代商業史,通識中心,通識,0323,,134,,Y,409,林志龍,2,人文,歷史
臺灣歷史導論,通識中心,通識,0324,,334,,Y,207,李毓嵐,2,人文,歷史
臺灣歷史導論,通識中心,通識,0325,,478,,Y,207,李毓嵐,2,人文,歷史
歷史與人生,通識中心,通識,0326,,278,,Y,206,蔡宗憲,2,人文,歷史
西方健康文化史,通識中心,通識,0327,,356,,Y,305,陳樂元,2,人文,歷史
西方健康文化史,通識中心,通識,0328,,378,,Y,305,陳樂元,2,人文,歷史
藝術的故事,通識中心,通識,0332,,156,,Y,212,劉瑞寬,2,人文,藝術
古典音樂賞析,通識中心,通識,0333,,278,,Y,112,呂承祐,2,人文,藝術
古典音樂賞析,通識中心,通識,0334,,178,,Y,112,李美賢,2,人文,藝術
古典音樂賞析,通識中心,通識,0335,,356,,Y,112,陳彥蓉,2,人文,藝術
電影美學,通識中心,通識,0336,,256,,Y,305,何智勇,2,人文,藝術
西洋歌劇發展史,通識中心,通識,0337,,312,,Y,402,陳欣宜,2,人文,藝術
世界音樂與多元文化,通識中心,通識,0338,,256,,Y,112,呂承祐,2,人文,藝術
婚姻與家庭,通識中心,通識,0401,,156,,SC,111,劉昭辰,2,社會,公民與社會
性別·社會·個人,通識中心,通識,0402,,234,,Y,204,關永馨,2,社會,公民與社會
食物與政治,通識中心,通識,0403,,278,,SC,111,譚偉恩,2,社會,公民與社會
公共管理與公民社會,通識中心,通識,0404,,434,,SC,204,潘競恒,2,社會,公民與社會
電影中的社會變遷,通識中心,通識,0405,,178,,Y,409,林志龍,2,社會,公民與社會
心理學,通識中心,通識,0409,,1678,,Y,204,關永馨,3,社會,心理與教育
心理學,通識中心,通識,0410,,2678,,Y,204,關永馨,3,社會,心理與教育
社會心理學,通識中心,通識,0411,,556,,Y,303,施又瑀,2,社會,心理與教育
社會心理學,通識中心,通識,0412,,134,,Y,204,關永馨,2,社會,心理與教育
教育與終身學習,通識中心,通識,0413,,256,,Y,208,陳姿伶,2,社會,心理與教育
性別與親密關係,通識中心,通識,0414,,134,,Y,102,蔡素琴,2,社會,心理與教育
性別與親密關係,通識中心,通識,0415,,156,,Y,102,蔡素琴,2,社會,心理與教育
靈商：整合智商與情商,通識中心,通識,0416,,456,,Y,202,程進發,2,社會,心理與教育
正向心理學,通識中心,通識,0417,,4789,,Y,303,施又瑀,3,社會,心理與教育
法學緒論,通識中心,通識,0421,,478,,Y,212,黃馨慧,2,社會,法律與政治
民主與憲政,通識中心,通識,0422,,378,,SC,204,潘競恒,2,社會,法律與政治
科技與法律,通識中心,通識,0423,,478,,Y,309,廖緯民,2,社會,法律與政治
流行文化與國際關係,通識中心,通識,0424,,356,,SC,112,譚偉恩,2,社會,法律與政治
民法通論,通識中心,通識,0425,,178,,Y,309,廖緯民,2,社會,法律與政治
民法通論,通識中心,通識,0426,,456,,SC,103,紀和均,2,社會,法律與政治
電影與國際關係,通識中心,通識,0427,,256,,SC,112,楊三億,2,社會,法律與政治
國防教育：國防政策,通識中心,通識,0429,,278,,Y,410,舒博智,2,社會,法律與政治
國防教育：防衛動員,通識中心,通識,0430,,378,,Y,104,劉鎮燈,2,社會,法律與政治
國防教育：國際情勢,通識中心,通識,0431,,278,,Y,409,林欣郁,2,社會,法律與政治
日本與亞太區域發展,通識中心,通識,0432,,256,,SC,111,廖舜右,2,社會,法律與政治
智慧財產權法概論,通識中心,通識,0433,,256,,Y,206,蘇宜成,2,社會,法律與政治
智慧財產權法概論,通識中心,通識,0434,,556,,Y,104,戴志傑,2,社會,法律與政治
流行文化與國際關係,通識中心,通識,0435,,234,,Y,109,黎宗裕,2,社會,法律與政治
網際文化,通識中心,通識,0436,,256,,Y,109,黎宗裕,2,社會,資訊與傳播
靈商：整合智商與情商,通識中心,通識,0439,,234,,AC,101,程進發,2,社會,心理與教育
職場競爭力,通識中心,通識,0490,,*,,,*,全體教師,2,社會,商業與管理
化工科技,通識中心,通識,0501,,156,,CE,206,李思禹,2,自然,工程科技
半導體通識講座：與我們息息相關的半導體,通識中心,通識,0503,,334,,ATB,29,何孟書,2,自然,工程科技
奈米科技,通識中心,通識,0504,,234,,ATB,29,劉浚年,2,自然,工程科技
生醫工程概論,通識中心,通識,0505,,1567,,ATB,29,廖國智,3,自然,工程科技
健康與人生,通識中心,通識,0508,,134,,Y,208,黃秀琳,2,自然,生命科學
昆蟲世界,通識中心,通識,0509,,134,,EC,7D09,段淑人,2,自然,生命科學
